,poet_id,content
0,pushkin,"Так и мне узнать случилось,
Что за птица Купидон;
Сердце страстное пленилось;
Признаюсь – и я влюблен!
"
1,pushkin,"Пролетело счастья время,
Как, любви не зная бремя,
Я живал да попевал,
Как в театре и на балах,
На гуляньях иль в воксалах
Легким зефиром летал;
Как, смеясь во зло Амуру,
Я писал карикатуру
На любезный женской пол;
Но напрасно я смеялся,
Наконец и сам попался,
Сам, увы! с ума сошел.
"
2,pushkin,"Так, Наталья! признаюся,
Я тобою полонен,
В первый раз еще, стыжуся,
В женски прелести влюблен.
"
3,pushkin,"Целый день, как ни верчуся
Лишь тобою занят я;
Ночь придет – и лишь тебя
Вижу я в пустом мечтаньи,
Вижу, в легком одеяньи
Будто милая со мной;
Робко, сладостно дыханье,
Белой груди колебанье,
Снег затмивший белизной,
И полуотверсты очи,
Скромный мрак безмолвной ночи—
Дух в восторг приводят мой!..
"
4,pushkin,"Я один в беседке с нею,
Вижу девственну лилею,
Трепещу, томлюсь, немею
И проснулся вижу мрак
Вкруг постели одинокой!
Испускаю вздох глубокой,
Сон ленивый, томноокой
Отлетает на крылах.
Страсть сильнее становится
И, любовью утомясь,
Я слабею всякой час.
"
5,pushkin,"Всё к чемуто ум стремится,
А к чему?– никто из нас
Дамам в слух того не скажет,
А уж так и сяк размажет.
"
6,pushkin,"Я – посвойски объяснюсь.
Все любовники желают
И того, чего не знают;
Это свойство их – дивлюсь!
Завернувшись балахоном,
С хватской шапкой на бекрень
Я желал бы Филимоном
Под вечер, как всюду тень,
Взяв Анюты нежну руку,
Изъяснять любовну муку,
Говорить: она моя!
"
7,pushkin,"Я желал бы, чтоб Назорой
Ты старалася меня
Удержать умильным взором.
Иль седым Опекуном
Легкой, миленькой Розины,
Старым пасынком судьбины,
В епанче и с париком,
Дерзкой пламенной рукою
Белоснежну, полну грудь
Я желал бы да ногою
Моря не перешагнуть.
"
8,pushkin,"И, хоть по уши влюбленный,
Но с тобою разлученный,
Всей надежды я лишен.
Но, Наталья! ты не знаешь
Кто твой нежный Селадон,
Ты еще не понимаешь,
Отчего не смеет он
И надеяться?– Наталья!
Выслушай еще меня:
Не владетель я Сераля,
Не арап, не турок я.
"
9,pushkin,"За учтивого китайца,
Грубого американца
Почитать меня нельзя,
Не представь и немчурою,
С колпаком на волосах,
С кружкой, пивом налитою,
И с цыгаркою в зубах.
Не представь кавалергарда
В каске, с длинным палашом.
Не люблю я бранный гром:
Шпага, сабля, алебарда
Не тягчат моей руки
За Адамовы грехи.
"
10,pushkin,"Святой монах, грехопадение, юбка
Хочу воспеть, как дух нечистый Ада
Оседлан был брадатым стариком;
Как овладел он черным клобуком,
Как он втолкнул Монаха грешных в стадо.
Певец любви, фернейской старичок,
К тебе, Вольтер, я ныне обращаюсь.
Куда, скажи, девался твой смычок,
Которым я в Жан дАрке восхищаюсь,
Где кисть твоя, скажи, ужели ввек
Их ни один не найдет человек?
"
11,pushkin,"А ты поэт, проклятый Аполлоном,
Испачкавший простенки кабаков,
Под Геликон упавший в грязь с Вильоном
Не можешь ли ты мне помочь, Барков?
"
12,pushkin,"С усмешкою даешь ты мне скрыпицу,
Сулишь вино и музу полдевицу:
«Последуй лишь примеру моему».—
Нет, нет, Барков! скрыпицы не возьму,
Я стану петь, что в голову придется,
Пусть какнибудь стих за стихом польется.
"
13,pushkin,"Не в далеке от тех прекрасных мест,
Где дерзостный восстал Иванвеликой,
На голове златой носящий крест,
В глуши лесов, в пустыне мрачной, дикой,
Был монастырь; в глухих его стенах
Под старость лет один седой Монах
Святым житьем, молитвами спасался
И дней к концу спокойно приближался.
"
14,pushkin,"Взошедши в дом, где мирно жил Монах,
Не золота увидели б вы горы,
Не мрамор там прельстил бы ваши взоры
Там не висел Рафаель на стенах.
"
15,pushkin,"Весь круглый год святой отец постился,
Весь божий день он в кельи провождал,
«Помилуй мя» в полголоса читал,
Ел плотно, спал и всякой час молился.
"
16,pushkin,"Красней теперь, коль ты краснеть умеешь,
Коль совести хоть капельку имеешь;
Красней и ты, богатый Кармелит,
И ты стыдись, Печерской Лавры житель,
Сердец и душ смиренный повелитель
Но, лира! стой!– Далеко занесло
Уже меня противу рясок рвенье;
Бесить попов не наше ремесло.
"
17,pushkin,"Панкратий жил счастлив в уединеньи,
Надеялся увидеть вскоре рай,
Но ни один земли безвестный край
Защитить нас от дьявола не может.—
И в тех местах, где черный сатана
Под стражею от злости когти гложет,
Узнали вдруг, что разгорожена
К монастырям свободная дорога.
"
18,pushkin,"И вдруг толпой все черти поднялись,
По воздуху на крыльях понеслись—
Иной в Париж к плешивым Картезианцам
С копейками, с червонцами полез,
Тот в Ватикан к брюхатым италианцам
Бургонского и макарони нес;
Тот девкою с прелатом повалился,
Тот молодцом к монашенкам пустился.
"
19,pushkin,"Чорт прибежал Амуров с целым роем,
И вдруг дьячок на крылосе всхрапел,
Поп замолчал – на девицу глядел,
А девица на дьякона глядела.
"
20,pushkin,"Уж темна ночь на небеса всходила,
Уж в городах утих вседневный шум,
Луна в окно Монаха осветила.—
В молитвенник весь устремивший ум,
Панкратий наш Николы пред иконой
Со вздохами земные клал поклоны.—
Пришел Молок так дьявола зовут,
Панкратия под черной ряской скрылся.
"
21,pushkin,"А наш старик уж перестал креститься,
На лавку сел, потер глаза, зевнул,
С молитвою три раза протянулся,
Зевнул опять, и чутьчуть не заснул.
"
22,pushkin,"Однако ж нет!Панкратий вдруг проснулся,
И снова бес Монаха соблазнять,
Чтоб усыпить, Боброва стал читать.
Монах скучал, Монах тому дивился.
Век не зевал, как богу он молился.
Но – нет уж сил, кресты, псалтирь, слова,—
Всё позабыл; седая голова,
Как яблоко, по груди покатилась,
Со лбу рука в колени опустилась,
Молитвенник упал из рук под стол,
Святой вздремал, всхрапел, как старый вол.
"
23,pushkin,"Несчастный! спи Панкратий вдруг проснулся
Взад и вперед со страхом оглянулся,
Перекрестясь с постели он встает,
Глядит вокруг – светильня нагорела;
Чуть слабый свет вокруг себя лиет;
Чтото в углу как будто забелело.
"
24,pushkin,"Монах идет – что ж? юбку видит он.
Что вижу я!.. иль это только сон?—
Вскричал Монах, остолбенев, бледнея.—
Как! это что? и, продолжать не смея,
Как вкопаный, пред белой юбкой стал,
Молчал, краснел, смущался, трепетал.
Огню любви единственна преграда,
Любовника сладчайшая награда
И прелестей единственный покров,
О юбка! речь к тебе я обращаю,
Строки сии тебе я посвящаю,
Одушеви перо мое, любовь!
"
25,pushkin,"Люблю тебя, о юбка дорогая,
Когда меня под вечер ожидая,
Наталья, сняв парчовый сарафан,
Тобою лишь окружит тонкий стан.
"
26,pushkin,"И ты, виясь вокруг прекрасных ног,
Струи ручьев прозрачнее, светлее,
Касаешься тех мест, где юный бог
Покоится меж розой и лилеей.
"
27,pushkin,"Иль, как Филон, за Хлоей побежав,
Прижать ее в объятия стремится,
Зеленый куст тебя вдруг удержав
Она должна, стыдясь, остановиться.
"
28,pushkin,"Но поздно всё, Филон, ее догнав,
С ней на траву душистую валится
И пламенна, дрожащая рука
Счастливого любовью пастуха
Тебя за край тихонько поднимает.
Она ему взор томный осклабляет,
И он но нет; не смею продолжать.
Я трепещу, и сердце сильно бьется,
И, может быть, читатели, как знать?
И ваша кровь с стремленьем страсти льется.
Но наш Монах о юбке рассуждал
Не так, как я я молод, не пострижен
И счастием нимало не обижен.
"
29,pushkin,"Горькие размышления, сон, спасительная мысль
Покаместь ночь еще не удалилась,
Покаместь свет лила еще луна,
То юбка всё еще была видна.
"
30,pushkin,"Как,– мыслит он,– когда и собачонки
В монастыре и духа нет моем,
Когда здесь ввек не видывал юбчонки,
Кто мог ее принесть ко мне же в дом?
"
31,pushkin,"Уж мнится мне прости, владыко, в том!
Уж нет ли здесь страшусь сказать девчонки.
Монах краснел и, делать что, не знал.
Во всех углах, под лавками искал.
Всё тщетно, нет, ни с чем старик остался,
Зато весь день, как бледна тень, таскался,
Не ел, не пил, покойно и не спал.
Проходит день, и вечер наступая
Зажег везде лампады и свечи.
Уже Монах, с главы клобук снимая,
Ложился спать.– Но только что лучи
Луна с небес в окно его пустила
И юбку вдруг на лавке осветила,
Зажмурился встревоженный Монах
И, чтоб не впасть койкак во искушенье,
Хотел уже на век лишиться зренья,
Лишь только бы на юбку не смотреть.
"
