text,keywords,author
"Влас Прогулкин —
милый мальчик,
спать ложился,
взяв журнальчик.
Все в журнале
интересно.
– Дочитаю весь,
хоть тресну!
– Ни отец его,
ни мать
не могли
заставить спать.
","['спать', 'журнальчик', 'заставить', 'мальчик', 'мать']",Маяковский
"Засыпает на рассвете,
скомкав
ёрзаньем
кровать,
в час,
когда
другие дети
бодро
начали вставать.
Когда
другая детвора
чаёвничает, вставши,
отец
орёт ему:
– Пора!–
Он —
одеяло на уши.
","['вставать', 'детвора', 'отец', 'засыпать', 'ухо']",Маяковский
"Разошлись
другие
в школы,–
Влас
у крана
полуголый —
не дремалось в школе чтоб,
моет нос
и мочит лоб.
Без чаю
и без калача
выходит,
еле волочась.
","['мочить', 'дрематься', 'выходить', 'школа', 'чай']",Маяковский
"Пошагал
и встал разиней:
вывеска на магазине.
Грамота на то и есть!
Надо
вывеску
прочесть!
Прочёл
с начала
буквы он,
выходит:
Куафёр Симон.
","['магазин', 'вывеска', 'прочесть', 'пошагать', 'симон']",Маяковский
"С конца прочёл
знаток наук, —
Номисвыходит
рёфаук.
Подумавши
минуток пять,
Прогулкин
двинулся опять.
А тут
на третьем этаже
сияет вывеска —
ТЭЖЭ.
","['номисвыходить', 'наука', 'пять', 'прочесть', 'третий']",Маяковский
"Прочёл.
Пошёл.
Минуты с три –
опять застрял
у двух витрин.
Какникак,
а к школьным зданьям
пришёл
с огромным опозданьем.
Дверь на ключ.
Толкнулся Влас –
не пускают Власа
в класс!
","['класс', 'дверь', 'прочесть', 'толкнуться', 'застрять']",Маяковский
"Этак ждать
расчёта нету,
Сыгранука
я
в монету!
Проиграв
один пятак,
не оставил дела так...
Словом,
не заметил сам,
как промчались
три часа.
","['проиграть', 'промчаться', 'монета', 'сыгранук', 'ждать']",Маяковский
"Что же делать —
вывод ясен:
возвратился восвояси!
Пришёл в грустях,
чтоб видели
Соседи
и родители.
Те
к сыночку:
– Что за вид?
– Очень голова болит.
","['сыночек', 'болеть', 'возвратиться', 'сосед', 'голова']",Маяковский
"Так трещала,
что не мог
даже
высидеть урок!
Прошу
письмо к мучителю,
мучителюучителю!–
В школу
Влас
письмо отнёс
и опять
не кажет нос.
","['мучителюучитель', 'письмо', 'просить', 'школа', 'влас']",Маяковский
"Словом,
вырос этот Влас –
настоящий лоботряс.
Мал
настолько
знаний груз,
что не смог
попасть и в вуз.
Еле взяли,
между прочим,
на завод
чернорабочим.
","['лоботряс', 'вуз', 'завод', 'вырасти', 'маленький']",Маяковский
"Ну, а Влас
и на заводе ту ж историю заводит:
у людей —
работы гул,
у Прогулкина —
прогул.
Словом,
через месяц
он
выгнан был
и сокращён.
","['работа', 'месяц', 'влас', 'выгнать', 'заводить']",Маяковский
"С горя
Влас
торчит в пивнушке,
мочит
ус
в бездоннойкружке,
и под забором,
вроде борова,
лежит он,
грязен
и оборван.
","['оборванный', 'мочить', 'пивнушка', 'лежать', 'забор']",Маяковский
"ДЕТИ,
НЕ БУДЬТЕ
ТАКИМИ, КАК ВЛАС!
Радостно
книгу возьмите
и – в класс!
Вооружись
учебникомкнигой!
С детства
мозги
развивай и двигай!
","['учебникомкнига', 'ребёнок', 'радостно', 'мозг', 'влас']",Маяковский
"Багровый и белый отброшен и скомкан,
в зеленый бросали горстями дукаты,
а черным ладоням сбежавшихся окон
раздали горящие желтые карты.
Бульварам и площади было не странно
увидеть на зданиях синие тоги.
И раньше бегущим, как желтые раны,
огни обручали браслетами ноги.
Толпа — пестрошерстая быстрая кошка —
плыла, изгибаясь, дверями влекома;
каждый хотел протащить хоть немножко
громаду из смеха отлитого кома.
","['скомкать', 'гореть', 'смех', 'зелёный', 'окно']",Маяковский
"Я, чувствуя платья зовущие лапы,
в глаза им улыбку протиснул; пугая
ударами в жесть, хохотали арапы,
над лбом расцветивши крыло попугая.
Угрюмый дождь скосил глаза.
А за
решеткой
четкой
железной мысли проводов —
перина.
И на
нее
встающих звезд
легко оперлись ноги.
","['хохотать', 'крыло', 'попугай', 'дождь', 'железный']",Маяковский
"Но ги —
бель фонарей,
царей
в короне газа,
для глаза
сделала больней
враждующий букет бульварных проституток.
И жуток
шуток.
 клюющий смех —
из желтых
ядовитых роз
возрос
зигзагом.
","['роза', 'проститутка', 'шутка', 'враждовать', 'газ']",Маяковский
"За гам
и жуть
взглянуть
отрадно глазу:
раба
крестов
страдающеспокойнобезразличных,
гроба
домов
публичных
восток бросал в одну пылающую вазу.
","['страдающеспокойнобезразличный', 'гроб', 'восток', 'дом', 'публичный']",Маяковский
